,embedding0,embedding1,embedding2
325,0.18681636,0.6417757,0.15820861
326,0.12200293,0.6080789,0.09138307
327,0.053291455,0.37156388,0.018745959
328,0.053428084,0.39757535,0.10150747
329,0.087720126,0.3337319,0.040527135
330,0.18075943,0.5043282,0.026155382
331,0.2737381,0.7133235,0.14575239
332,0.054370403,0.4537263,0.15162367
333,0.07182217,0.4796908,0.07496123
334,0.068701774,0.5063175,0.064436644
335,0.24836323,0.7723779,0.12529138
336,0.3661599,0.7907346,0.11005227
337,0.00028175116,0.2735073,0.10938087
338,0.13816491,0.57280976,0.06646697
339,0.14734483,0.540482,0.13329285
340,0.17921928,0.5551309,0.13060951
341,0.14060298,0.5512666,0.11362328
342,0.15500858,0.61656934,0.12519401
343,0.17383046,0.39836034,0.023222089
344,0.41590658,1.0131285,0.22035524
345,0.009520575,0.0959024,-0.00024644285
346,0.16277775,0.62255204,0.13519362
347,0.12152648,0.49519178,0.06542024
348,0.18380328,0.5240524,0.04435867
349,0.10885002,0.34694746,-0.025968209
350,0.14863703,0.43711007,0.028457746
351,0.03932321,0.4282424,0.12890436
352,0.0632073,0.45631802,0.11142956
353,0.13372117,0.4592957,0.024542928
354,0.09322646,0.49931684,0.13357401
355,-0.002204135,0.33856088,0.06931768
356,0.34288827,0.94916046,0.24046502
357,0.18888095,0.7447005,0.16452894
358,0.103985205,0.36824727,0.08467978
359,0.22749767,0.6931328,0.119349524
360,0.014011949,0.34736857,0.07248853
361,0.15620522,0.41670528,-0.018030778
362,-0.020108908,0.39769515,0.10247707
363,0.14230469,0.6148751,0.13277546
364,0.29758242,0.85332876,0.1940405
365,0.07730931,0.23849629,-0.04848233
366,0.25663802,0.8378951,0.17985106
367,0.21864657,0.43846947,-0.093164384
368,0.13176948,0.41309577,0.004894115
369,0.082001,0.47341475,0.06586191
370,0.21045446,0.5380335,-0.0011712015
371,0.3746664,0.9885159,0.21769643
372,0.06663585,0.4599831,0.107880175
373,0.13781887,0.59803945,0.17041641
374,0.21751735,0.7206721,0.15940201
375,0.2081543,0.584346,0.05845903
376,0.23814198,0.65550345,0.10457027
377,0.098262966,0.38257962,0.042527527
378,0.3291702,0.80504006,0.1751841
379,0.16916487,0.60530305,0.1156103
380,0.056863725,0.4078609,0.014846936
381,0.11399625,0.43738672,0.02020453
382,0.09036556,0.547875,0.115333945
383,0.1437764,0.41857067,-0.0125257075
384,0.099345535,0.5741809,0.14115727
385,0.17640625,0.34819221,-0.019106366
386,0.20403014,0.51717883,0.031587794
387,0.056608528,0.47879094,0.09699723
388,0.18073958,0.54821426,0.08664334
389,0.22512779,0.63611877,0.041525617
390,0.20772699,0.700297,0.13307208
391,0.14218229,0.59849375,0.1811935
392,0.30704904,0.7681225,0.12589657
393,0.10937782,0.42746046,0.06958595
394,0.020247787,0.41981065,0.0487068
395,0.037531734,0.40781265,0.10469106
396,0.12230486,0.52437025,0.09565571
397,0.30601755,0.8189834,0.13079336
398,0.08720422,0.44912305,0.13322088
399,0.023342162,0.36886883,0.070662335
400,0.036499888,0.2489527,-0.016684785
401,0.23046681,0.6668752,0.08653879
402,0.11624022,0.2821858,-0.07194411
403,-0.0075798333,0.3889949,0.12933962
404,0.1155321,0.5318212,0.125362
405,0.30492532,0.77666754,0.11046064
406,0.15774368,0.37804642,-0.052946173
