x,y
242.9304592,298.72589465
176.41125785,304.56556915
414.4045377,305.4680643
267.3509162,317.09432535
424.9159518,311.57317855
467.0677841,275.2079328
253.3356974,317.0412374
435.58662975,268.99664265
274.4647015,292.78004425
197.3809981,304.67174505
302.3889632,305.0433607
466.9616082,299.57530185
200.8848028,310.7768593
130.7025329,347.03592915
323.4117914,305.09644865
249.99115655,286.5687541
186.7634081,335.03805245
137.76323025,334.8787886
365.40435985,305.2557125
137.8163182,322.6685601
162.2367752,341.0369908
470.5715888,269.1559065
488.03752435,275.3141087
333.87011755,311.25465085
498.4958505,293.5763635
484.53371965,281.366135
183.41886725,304.6186571
435.4273659,305.52115225
305.94585585,298.9913344
463.5639794,269.10281855
491.43515315,305.73350405
134.3125135,328.77367435
389.9840807,287.0996336
375.91577395,311.4139147
190.3733887,316.77579765
141.3201229,316.6165338
176.4643458,292.4084286
134.36560145,316.6165338
120.35038265,316.56344585
372.41196925,305.30880045
123.8010994,322.61547215
474.0753935,263.05079225
501.94656725,299.68147775
487.93134845,311.8386183
207.83932425,322.93399985
323.35870345,317.30667715
288.42683235,292.8331322
179.91506255,298.51354285
312.95346525,286.83419385
270.90780885,298.83207055
260.4494827,292.7269563
148.27464435,340.98390285
417.9083424,311.57317855
165.8467558,322.774736
386.480276,293.20474785
316.45726995,292.9393081
277.8623303,311.04229905
344.4346196,293.045484
358.4498384,293.09857195
246.4342639,292.67386835
459.90091085,311.7324424
466.90852025,311.7324424
337.4270102,305.1495366
396.93860215,299.3098621
169.29747255,328.87985025
410.900733,311.5200906
200.83171485,322.93399985
190.32030075,328.98602615
470.4654129,293.4701876
473.9692176,299.57530185
256.8395021,323.14635165
179.8619746,310.6706834
158.89223435,310.61759545
481.02991495,275.26102075
494.93895785,299.68147775
169.2443846,341.09007875
151.77844905,334.93187655
